"GeneID","SRR1568262","SRR1568263","SRR1568264","SRR6311328","SRR6311361","SRR6311362","SRR6311363","SRR6311364","SRR6311365","SRR6311366","SRR6311393","SRR6311394","SRR6311395","SRR6311396"
"Trnaa-agc_67","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"LOC5566936","115","198","130","662","316","533","264","299","213","213","253","252","541","426"
"LOC5566937","21","21","21","82","11","0","23","65","36","30","19","60","122","19"
"LOC5566938","36","28","54","375","143","114","159","149","69","173","385","343","173","286"
"LOC5564337","11","8","15","4","4","12","0","1","0","0","10","9","1","29"
"LOC110678557","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC23687463","0","0","0","0","0","9","0","0","0","0","0","0","0","0"
"LOC5564351","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"LOC110678558","0","1","2","0","0","0","0","0","0","0","0","0","0","0"
"LOC23687725","0","0","0","0","0","0","0","0","0","0","3","1","86","33"
"LOC23687641","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC110678559","0","1","1","0","0","0","0","0","0","0","0","0","1","0"
"LOC5564341","40","16","46","1078","639","1350","121","131","79","35","305","263","87","86"
"LOC5564357","115","118","165","0","8","12","48","29","11","0","54","91","127","291"
"LOC5564344","1","1","5","67","2","10","0","0","0","2","3","5","0","2"
"LOC5564339","3","1","6","49","3","0","0","1","0","3","4","2","31","79"
"LOC5564334","5","6","8","99","33","0","8","25","27","12","15","4","0","14"
"LOC110679860","0","4","3","0","0","0","0","0","0","0","2","4","1","1"
"LOC5564347","31","49","57","241","21","75","54","40","31","50","152","138","262","279"
"LOC5564346","0","0","0","0","0","0","0","23","13","26","0","0","3","8"
"LOC5564350","7","13","0","0","1","0","34","67","29","90","4","0","3","0"
"LOC110678110","1","2","1","0","1","0","0","0","0","0","3","2","0","1"
"LOC5564356","5","3","1","0","0","0","116","197","128","57","1","1","1","0"
"LOC5564354","5","19","7","0","8","0","496","1456","779","430","21","19","2","1"
"LOC5564353","335","312","439","158","124","83","186","234","162","307","114","161","128","160"
"LOC110678627","0","0","0","0","0","0","1","0","0","0","2","0","0","0"
"LOC5564352","0","0","0","278","107","73","0","0","0","0","0","23","4","0"
"LOC5564355","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"LOC110678573","0","0","0","1663","1828","1530","11","19","35","127","38","45","565","718"
"LOC5578511","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5578512","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5578514","0","0","0","0","0","0","4","5","0","0","0","3","13","9"
"Trnas-gcu_4","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"LOC5572157","3","4","3","14","2","3","8","1","0","13","5","9","0","1"
"LOC5572149","2","1","0","45","0","1","122","122","59","67","732","655","136","221"
"LOC5572150","0","1","0","3","2","1","258","635","398","821","57","67","7","9"
"LOC5572151","0","0","0","0","5","0","648","1279","851","1118","49","57","0","5"
"LOC5572154","20","24","27","327","203","296","335","422","201","311","79","163","264","429"
"LOC5572156","2","2","6","119","15","31","54","99","106","50","1","4","2","1"
"LOC5572148","117","102","151","131","80","91","393","406","249","329","1272","1103","439","345"
"LOC5572146","0","0","0","85","0","0","0","0","0","0","1","1","2342","3103"
"LOC5566850","1","0","0","0","3","2","575","833","587","761","9","4","13","17"
"LOC5566902","1","2","3","1","22","0","6","0","0","3","8","11","24","0"
"LOC5566906","31","20","30","47","20","35","17","10","0","0","28","3","18","65"
"LOC5566849","8","18","9","0","9","0","122","28","25","5","0","0","19","7"
"LOC5566848","214","270","289","119","69","55","41","40","36","55","42","55","74","246"
"LOC5566846","26","21","31","125","52","61","30","47","48","41","101","220","114","137"
"LOC5566847","1484","993","1721","1241","430","531","679","607","192","419","1753","1749","2010","2496"
